aphiaID;scientificName;extra
145716;Alaria esculenta;gevleugelde kelp
145541;Ascophyllum nodosum;knotswier
145313;Asperococcus fistulosus;bruinwier
145949;Blidingia marginata;
145950;Blidingia minima;
145951;Blidingia ramifera;
145952;Blidingia subsalsa;
144452;Bryopsis hypnoides;
144457;Bryopsis plumosa;haaralgen
145935;Capsosiphon fulvescens;
145020;Chaetomorpha aerea;
157107;Chaetomorpha capillaris;groenalg
145027;Chaetomorpha linum;groenalg
146793;Chaetomorpha mediterranea;
145029;Chaetomorpha melagonium;groenalg
801;Chlorophyta;groenwier
145722;Chorda filum;dodemanskoord
144910;Chordaria flagelliformis;
143996;Cladophora;rotswier
145033;Cladophora albida;
145042;Cladophora dalmatica;
145049;Cladophora hutchinsiae;
145051;Cladophora laetevirens;
145054;Cladophora liniformis;
145063;Cladophora ruchingeri;
145064;Cladophora rupestris;rotswier
145065;Cladophora sericea;
145069;Cladophora vadorum;
145070;Cladophora vagabunda;
145888;Cladostephus spongiosus;bruinwier
145086;Codium fragile;
145092;Codium tomentosum;
145856;Colpomenia peregrina;
144054;Cutleria;bruinwier
145297;Cutleria multifida;bruinwier
149639;deleted from WORMS;
145307;Desmarestia aculeata;bruinwier
145309;Desmarestia ligulata;bruinwier
145310;Desmarestia viridis;bruinwier
145360;Dictyopteris polypodioides;
144067;Dictyosiphon;bruinwier
145322;Dictyosiphon foeniculaceus;bruinwier
145367;Dictyota dichotoma;gaffelwier
143717;Ectocarpaceae;bruinwier
144099;Ectocarpus;bruinwier
145404;Ectocarpus fasciculatus;
145410;Ectocarpus siliculosus;bruinwier
162551;Ectocarpus siliculosus var. hiemalis;
144936;Elachista flaccida;
144937;Elachista fucicola;
144942;Elachista scutulata;
144943;Elachista stellaris;
146008;Epicladia perforans;
144918;Eudesme virescens;
145922;Eugomontia sacculata;
844;Fucales;bruinwier
144129;Fucus;bruinwier
145542;Fucus ceranoides;bruinwier
145546;Fucus serratus;bruinwier
145547;Fucus spiralis;bruinwier
145548;Fucus vesiculosus;bruinwier
162548;Fucus vesiculosus var. linearis;
214368;Gayralia oxysperma;
145324;Giraudya sphacelarioides;
144903;Gomontia polyrhiza;
145540;Halidrys siliquosa;hauwwier
145551;Himanthalia elongata;riemwier
111878;Lagotia viridis;ciliates
145724;Laminaria digitata;bruinwier
145725;Laminaria hyperborea;bruinwier
162814;Laminariocolax aecidioides;
145446;Laminariocolax tomentosoides;
494940;Leathesia marina;bruinwier
145327;Litosiphon laminariae;
144924;Mesogloia vermiculata;
144956;Microcoryne ocellata;
145447;Mikrosyphar polysiphoniae;
145448;Mikrosyphar porphyrae;
145940;Monostroma grevillei;
145550;Pelvetia canaliculata;groefwier
145979;Percursaria percursa;
145863;Petalonia fascia;
145800;Prasiola stipitata;groenalg
144986;Protectocarpus speciosus;
145346;Punctaria latifolia;
661812;quarantine, unverified;
667504;quarantine, unverified;
661810;quarantine, unverified;
661216;quarantine, unverified;
145001;Ralfsia verrucosa;korstbruin
145075;Rhizoclonium riparium;
145076;Rhizoclonium tortuosum;
234483;Saccharina latissima;suikerwier
145735;Saccorhiza polyschides;bruinwier
494791;Sargassum muticum;bruinwier
145869;Scytosiphon lomentaria;
144413;Spongomorpha aeruginosa;?
147470;Spongomorpha arcta;?
145459;Spongonema tomentosum;bruinwier
144883;Syncoryne reinkei;
144987;Ulonema rhizophorum;
145925;Ulothrix flacca;
145927;Ulothrix implexa;
145929;Ulothrix palusalsa;
145930;Ulothrix speciosa;
144296;Ulva;zeesla
156078;Ulva clathrata;
234462;Ulva compressa;
145981;Ulva curvata;
234468;Ulva flexuosa;
234471;Ulva intestinalis;zeesla
234473;Ulva kylinii;
145984;Ulva lactuca;zeesla
234474;Ulva linza;
234476;Ulva prolifera;
145988;Ulva pseudocurvata;
234477;Ulva pseudolinza;
234478;Ulva radiata;
234479;Ulva ralfsii;
145990;Ulva rigida;
234481;Ulva torta;
732257;Ulvella repens;
732330;Ulvella scutata;
732259;Ulvella viridis;
732245;Ulvella wittrockii;
144419;Urospora neglecta;
144420;Urospora penicilliformis;
144421;Urospora wormskioldii;
145721;Undaria pinnatifida;
163728;Vibrio paxillifer;
